SEASON,TEAM_ID,TEAM_NAME,GP,W,L,WIN_PCT,NET_RATING,OFF_RATING,DEF_RATING,PACE,EFG_PCT,TEAM_ABBREVIATION,CONFERENCE,PRIMARY_COLOR,LOGO_URL
2024-25,1610612743,Denver Nuggets,82,50,32,0.61,3.8,118.9,115.1,100.67,0.573,DEN,West,#0E2240,https://cdn.nba.com/logos/nba/1610612743/global/L/logo.svg
2024-25,1610612744,Golden State Warriors,82,48,34,0.585,3.2,114.2,111.0,99.37,0.536,GSW,West,#1D428A,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
2024-25,1610612749,Milwaukee Bucks,82,48,34,0.585,2.4,115.1,112.7,99.92,0.568,MIL,East,#00471B,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
2024-25,1610612765,Detroit Pistons,82,44,38,0.537,2.1,114.6,112.5,100.27,0.547,DET,East,#C8102E,https://cdn.nba.com/logos/nba/1610612765/global/L/logo.svg
2024-25,1610612754,Indiana Pacers,82,50,32,0.61,2.1,115.4,113.3,100.76,0.562,IND,East,#002D62,https://cdn.nba.com/logos/nba/1610612754/global/L/logo.svg
2024-25,1610612747,Los Angeles Lakers,82,50,32,0.61,1.2,115.0,113.8,98.34,0.557,LAL,West,#552583,https://cdn.nba.com/logos/nba/1610612747/global/L/logo.svg
2024-25,1610612758,Sacramento Kings,82,40,42,0.488,0.6,115.9,115.3,98.91,0.548,SAC,West,#5A2D81,https://cdn.nba.com/logos/nba/1610612758/global/L/logo.svg
2024-25,1610612748,Miami Heat,82,37,45,0.451,0.4,112.4,112.0,97.08,0.544,MIA,East,#98002E,https://cdn.nba.com/logos/nba/1610612748/global/L/logo.svg
2024-25,1610612753,Orlando Magic,82,41,41,0.5,-0.2,108.9,109.1,96.51,0.51,ORL,East,#0077C0,https://cdn.nba.com/logos/nba/1610612753/global/L/logo.svg
2024-25,1610612737,Atlanta Hawks,82,40,42,0.488,-1.1,113.7,114.8,103.41,0.546,ATL,East,#E03A3E,https://cdn.nba.com/logos/nba/1610612737/global/L/logo.svg
2024-25,1610612742,Dallas Mavericks,82,39,43,0.476,-1.3,113.7,115.0,100.15,0.549,DAL,West,#00538C,https://cdn.nba.com/logos/nba/1610612742/global/L/logo.svg
2024-25,1610612741,Chicago Bulls,82,39,43,0.476,-1.6,113.2,114.8,103.61,0.553,CHI,East,#CE1141,https://cdn.nba.com/logos/nba/1610612741/global/L/logo.svg
2024-25,1610612757,Portland Trail Blazers,82,36,46,0.439,-2.7,111.0,113.7,99.51,0.521,POR,West,#E03A3E,https://cdn.nba.com/logos/nba/1610612757/global/L/logo.svg
2024-25,1610612759,San Antonio Spurs,82,34,48,0.415,-2.8,113.5,116.3,100.08,0.544,SAS,West,#C4CED4,https://cdn.nba.com/logos/nba/1610612759/global/L/logo.svg
2024-25,1610612756,Phoenix Suns,82,36,46,0.439,-3.0,114.7,117.7,98.31,0.561,PHX,West,#1D1160,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
2024-25,1610612761,Toronto Raptors,82,30,52,0.366,-4.1,109.6,113.6,100.62,0.522,TOR,East,#CE1141,https://cdn.nba.com/logos/nba/1610612761/global/L/logo.svg
2024-25,1610612755,Philadelphia 76ers,82,24,58,0.293,-6.3,111.0,117.3,98.13,0.527,PHI,East,#006BB6,https://cdn.nba.com/logos/nba/1610612755/global/L/logo.svg
2024-25,1610612751,Brooklyn Nets,82,26,56,0.317,-7.3,108.1,115.4,96.73,0.516,BKN,East,#000000,https://cdn.nba.com/logos/nba/1610612751/global/L/logo.svg
2024-25,1610612766,Charlotte Hornets,82,19,63,0.232,-9.1,106.7,115.7,98.22,0.503,CHA,East,#1D1160,https://cdn.nba.com/logos/nba/1610612766/global/L/logo.svg
2024-25,1610612762,Utah Jazz,82,17,65,0.207,-9.2,110.2,119.4,100.85,0.533,UTA,West,#002B5C,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
2024-25,1610612740,New Orleans Pelicans,82,21,61,0.256,-9.4,109.7,119.1,99.77,0.519,NOP,West,#0C2340,https://cdn.nba.com/logos/nba/1610612740/global/L/logo.svg
2024-25,1610612764,Washington Wizards,82,18,64,0.22,-12.2,105.8,118.0,101.82,0.512,WAS,East,#002B5C,https://cdn.nba.com/logos/nba/1610612764/global/L/logo.svg
2025-26,1610612760,Oklahoma City Thunder,82,64,18,0.78,11.1,117.6,106.5,100.37,0.561,OKC,West,#007AC1,https://cdn.nba.com/logos/nba/1610612760/global/L/logo.svg
